LocationAbbr,LocationDesc,Topic,Indicator,Data_Value_Type,Data_Value,Break_Out_Category,Break_Out,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID
US,United States,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,5.9,Gender,Female,T1,NS001,Crude,BOC02,GEN02,59
WEST,West,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Age-Standardized,6.7,Race,Non-Hispanic White,T1,NS001,AgeStdz,BOC04,RAC01,9004
NRE,Northeast,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,4.9,Age,45-64,T4,NS002,Crude,BOC03,AGE05,9001
NRE,Northeast,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,11.5,Age,35+,T1,NS001,Crude,BOC03,AGE07,9001
MDW,Midwest,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,2.9,Age,45-64,T6,NS004,Crude,BOC03,AGE05,9002
MDW,Midwest,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,0.0,Age,18-24,T6,NS004,Crude,BOC03,AGE01,9002
SOU,South,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,2.9,Age,25-44,T1,NS001,Crude,BOC03,AGE04,9003
SOU,South,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,9.6,Gender,Male,T1,NS001,Crude,BOC02,GEN01,9003
US,United States,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,3.5,Race,Non-Hispanic Black,T6,NS004,Crude,BOC04,RAC02,59
WEST,West,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,1.7,Age,25-44,T1,NS001,Crude,BOC03,AGE04,9004
NRE,Northeast,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,1.1,Age,25-44,T1,NS001,Crude,BOC03,AGE04,9001
MDW,Midwest,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,3.3,Age,45-64,T6,NS004,Crude,BOC03,AGE05,9002
