LocationAbbr,LocationDesc,Topic,Indicator,Data_Value_Type,Data_Value,Break_Out_Category,Break_Out,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,40.1,Age,35+,T14,NS011,Crude,BOC03,AGE07,59
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,22.7,Age,18-24,T14,NS011,Crude,BOC03,AGE01,59
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,18.2,Gender,Male,T15,NS010,Crude,BOC02,GEN01,9003
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,22.8,Age,45-64,T15,NS010,Crude,BOC03,AGE05,9003
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,16.7,Age,45-64,T15,NS010,Crude,BOC03,AGE05,9004
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,18.1,Race,Non-Hispanic White,T15,NS010,AgeStdz,BOC04,RAC01,9004
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,24.0,Age,25-44,T15,NS010,Crude,BOC03,AGE04,59
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,28.4,Race,Non-Hispanic White,T14,NS011,Crude,BOC04,RAC01,9002
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,23.9,Age,18-24,T15,NS010,Crude,BOC03,AGE01,59
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,5.4,Age,75+,T15,NS010,Crude,BOC03,AGE08,59
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,8.6,Age,65+,T15,NS010,Crude,BOC03,AGE06,9004
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,10.0,Race,Hispanic,T15,NS010,AgeStdz,BOC04,RAC04,59
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,,Race,Other,T14,NS011,AgeStdz,BOC04,RAC07,9001
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,24.7,Age,45-64,T15,NS010,Crude,BOC03,AGE05,9003
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,25.6,Age,45-64,T15,NS010,Crude,BOC03,AGE05,9002
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Overall,Overall,T9,NS012,AgeStdz,BOC01,OVR01,9004
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,18.1,Gender,Female,T15,NS010,Crude,BOC02,GEN02,9003
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,11.6,Race,Hispanic,T15,NS010,Crude,BOC04,RAC04,9003
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,27.5,Race,Other,T15,NS010,Crude,BOC04,RAC07,9003
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,22.3,Gender,Male,T15,NS010,AgeStdz,BOC02,GEN01,59
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,6.0,Race,Non-Hispanic Asian,T15,NS010,Crude,BOC04,RAC03,9001
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,36.0,Overall,Overall,T14,NS011,AgeStdz,BOC01,OVR01,9001
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,15.2,Race,Hispanic,T15,NS010,Crude,BOC04,RAC04,9003
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,22.6,Race,Non-Hispanic White,T15,NS010,AgeStdz,BOC04,RAC01,59
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,18.5,Gender,Male,T15,NS010,Crude,BOC02,GEN01,9001
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,16.8,Age,35+,T15,NS010,Crude,BOC03,AGE07,59
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,7.9,Age,65+,T15,NS010,Crude,BOC03,AGE06,9001
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,28.6,Age,18-24,T15,NS010,Crude,BOC03,AGE01,9003
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Gender,Male,T9,NS012,Crude,BOC02,GEN01,9001
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,23.8,Age,25-44,T15,NS010,Crude,BOC03,AGE04,59
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,34.4,Race,Non-Hispanic Asian,T14,NS011,Crude,BOC04,RAC03,59
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,9.3,Age,65+,T15,NS010,Crude,BOC03,AGE06,59
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,6.1,Age,75+,T15,NS010,Crude,BOC03,AGE08,9004
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,8.9,Age,65+,T15,NS010,Crude,BOC03,AGE06,9003
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,13.9,Age,35+,T15,NS010,Crude,BOC03,AGE07,59
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,4.1,Age,75+,T15,NS010,Crude,BOC03,AGE08,9001
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,3.7,Age,75+,T15,NS010,Crude,BOC03,AGE08,9004
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Non-Hispanic Black,T9,NS012,AgeStdz,BOC04,RAC02,9004
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,22.1,Race,Non-Hispanic White,T15,NS010,AgeStdz,BOC04,RAC01,9002
